===ARCS===
ID: 141, Start Node ID: 937, End Node ID: 852, Left Polygon ID: 336, Right Polygon ID: 333, Points: [(38431488.175, 3739239.76028737), (38431488.175, 3739295.26228395)]
ID: 142, Start Node ID: 852, End Node ID: 791, Left Polygon ID: 321, Right Polygon ID: 320, Points: [(38431488.175, 3739295.26228395), (38431488.175, 3739344.90084094)]
ID: 143, Start Node ID: 791, End Node ID: 730, Left Polygon ID: 307, Right Polygon ID: 306, Points: [(38431488.175, 3739344.90084094), (38431488.175, 3739548.60600838)]
ID: 144, Start Node ID: 730, End Node ID: 672, Left Polygon ID: 292, Right Polygon ID: 291, Points: [(38431488.175, 3739548.60600838), (38431488.175, 3739647.51809971)]
ID: 145, Start Node ID: 672, End Node ID: 8, Left Polygon ID: 30, Right Polygon ID: 28, Points: [(38431488.175, 3739647.51809971), (38431488.175, 3739683.6145)]
ID: 146, Start Node ID: 0, End Node ID: 1386, Left Polygon ID: 2, Right Polygon ID: 1, Points: [(38429562.9, 3738049.289), (38429918.650552, 3738351.27816978)]
ID: 147, Start Node ID: 1386, End Node ID: 1385, Left Polygon ID: 436, Right Polygon ID: 541, Points: [(38429918.650552, 3738351.27816978), (38429993.9174941, 3738415.17069567)]
ID: 148, Start Node ID: 1385, End Node ID: 1384, Left Polygon ID: 536, Right Polygon ID: 1, Points: [(38429993.9174941, 3738415.17069567), (38430178.6590954, 3738571.9939598)]
ID: 149, Start Node ID: 1384, End Node ID: 1383, Left Polygon ID: 436, Right Polygon ID: 533, Points: [(38430178.6590954, 3738571.9939598), (38430408.2256709, 3738766.86820281)]
ID: 150, Start Node ID: 1383, End Node ID: 1382, Left Polygon ID: 528, Right Polygon ID: 1, Points: [(38430408.2256709, 3738766.86820281), (38430784.6965472, 3739086.44642059)]
ID: 151, Start Node ID: 1382, End Node ID: 1381, Left Polygon ID: 436, Right Polygon ID: 433, Points: [(38430784.6965472, 3739086.44642059), (38430943.4913493, 3739221.243992)]
ID: 152, Start Node ID: 1381, End Node ID: 1380, Left Polygon ID: 420, Right Polygon ID: 418, Points: [(38430943.4913493, 3739221.243992), (38431006.388848, 3739274.63635728)]
ID: 153, Start Node ID: 1380, End Node ID: 1379, Left Polygon ID: 19, Right Polygon ID: 403, Points: [(38431006.388848, 3739274.63635728), (38431075.8678776, 3739333.61564584)]
ID: 154, Start Node ID: 1379, End Node ID: 1378, Left Polygon ID: 380, Right Polygon ID: 393, Points: [(38431075.8678776, 3739333.61564584), (38431176.1522395, 3739418.74493379)]
ID: 155, Start Node ID: 1378, End Node ID: 1377, Left Polygon ID: 367, Right Polygon ID: 372, Points: [(38431176.1522395, 3739418.74493379), (38431202.9982165, 3739441.53391964)]
ID: 156, Start Node ID: 1377, End Node ID: 1376, Left Polygon ID: 345, Right Polygon ID: 350, Points: [(38431202.9982165, 3739441.53391964), (38431229.8441934, 3739464.3229055)]
ID: 157, Start Node ID: 1376, End Node ID: 1375, Left Polygon ID: 331, Right Polygon ID: 336, Points: [(38431229.8441934, 3739464.3229055), (38431302.1470027, 3739525.69924134)]
ID: 158, Start Node ID: 1375, End Node ID: 1374, Left Polygon ID: 317, Right Polygon ID: 321, Points: [(38431302.1470027, 3739525.69924134), (38431345.49656, 3739562.4977698)]
